problem,seed,model,comparison_group,data_mse,physics_residual,param_count,epochs_trained,best_val_loss,seconds_per_epoch,inference_ms
burgers,46,fno,supervised_only,0.046393562108278275,9.025892496109009,44257,100,0.04142449051141739,0.014731304960587294,0.231385747611057
kuramoto_sivashinsky,42,tapinn,physics_trained,0.010854899883270264,0.09569253958761692,16361,83,0.008669170551002026,0.049968269506170615,0.18215275122202002
kuramoto_sivashinsky,42,standard_pinn,physics_trained,0.010393290780484676,0.052946813870221376,8641,31,0.007871134206652641,0.06618285293628898,0.12353049896773882
kuramoto_sivashinsky,42,hyperpinn,physics_trained,0.006236957851797342,0.010174617171287537,40225,60,0.006177093833684921,0.049723820100189185,0.17385949831805192
kuramoto_sivashinsky,42,deeponet,physics_trained,0.002046882873401046,0.01589460438117385,45504,100,0.0017285705544054508,0.04788423612844781,0.15252374942065217
kuramoto_sivashinsky,42,fno,supervised_only,0.011479592882096767,0.6255393624305725,44257,100,0.010012103244662285,0.014886810759926448,0.2449827516102232
kuramoto_sivashinsky,43,tapinn,physics_trained,0.014771687798202038,0.06383505184203386,16361,35,0.013196667656302452,0.052131130085659345,0.18450999777996913
kuramoto_sivashinsky,43,standard_pinn,physics_trained,0.008539925329387188,0.024794527795165777,8641,54,0.006476034410297871,0.06501783985139034,0.11683050252031535
kuramoto_sivashinsky,43,hyperpinn,physics_trained,0.011461909860372543,0.0038025753456167877,40225,65,0.005033211316913366,0.04896102281614171,0.2075572519970592
kuramoto_sivashinsky,43,deeponet,physics_trained,0.008900226093828678,0.058823140570893884,45504,55,0.008682024665176868,0.04736365425527434,0.1578800001880154
kuramoto_sivashinsky,43,fno,supervised_only,0.006849274039268494,0.6320271342992783,44257,100,0.006670007016509771,0.014380586699408013,0.23050425079418346
kuramoto_sivashinsky,44,tapinn,physics_trained,0.009683114476501942,0.11606699042022228,16361,50,0.008143829181790352,0.05048664124100469,0.18223275037598796
kuramoto_sivashinsky,44,standard_pinn,physics_trained,0.0099914176389575,0.07526814937591553,8641,27,0.008567361161112785,0.06514789836957655,0.12215750030009076
kuramoto_sivashinsky,44,hyperpinn,physics_trained,0.005891129374504089,0.019080154597759247,40225,88,0.0056046657264232635,0.04846945832931934,0.16920849884627387
kuramoto_sivashinsky,44,deeponet,physics_trained,0.0014063831185922027,0.004564865492284298,45504,100,0.0010622635018080473,0.04732436590013094,0.16396974751842208
kuramoto_sivashinsky,44,fno,supervised_only,0.00811812561005354,0.49847907572984695,44257,100,0.00946419220417738,0.014521869950258406,0.22198799706529826
kuramoto_sivashinsky,45,tapinn,physics_trained,0.009481952525675297,0.0656337272375822,16361,64,0.006535475142300129,0.04924102153177046,0.2053419993899297
kuramoto_sivashinsky,45,standard_pinn,physics_trained,0.0051671843975782394,0.004439083277247846,8641,81,0.003355268854647875,0.06558663992625863,0.12014575258945115
kuramoto_sivashinsky,45,hyperpinn,physics_trained,0.006318406667560339,0.06320899678394198,40225,41,0.004884800873696804,0.04894394997369623,0.17074499919544905
kuramoto_sivashinsky,45,deeponet,physics_trained,0.0018773613264784217,0.003753827011678368,45504,100,0.001644976669922471,0.0466210401301214,0.14640674999100156
kuramoto_sivashinsky,45,fno,supervised_only,0.004267803858965635,0.8687245100736618,44257,100,0.004091527312994003,0.014435196030535734,0.26405000244267285
kuramoto_sivashinsky,46,tapinn,physics_trained,0.006687691435217857,0.013035168289206922,16361,94,0.006325106136500835,0.04987821166952849,0.1877944996522274
kuramoto_sivashinsky,46,standard_pinn,physics_trained,0.006218404043465853,0.017953106202185154,8641,54,0.005554232746362686,0.06622137957445509,0.13451475024339743
kuramoto_sivashinsky,46,hyperpinn,physics_trained,0.007809747476130724,0.009493298013694584,40225,28,0.007448965683579445,0.04892488471523393,0.1710044998617377
kuramoto_sivashinsky,46,deeponet,physics_trained,0.0017815598985180259,0.004685171297751367,45504,67,0.0016166605055332184,0.04766987695522892,0.15019574857433327
kuramoto_sivashinsky,46,fno,supervised_only,0.009593931026756763,0.4495963677763939,44257,100,0.009243636392056942,0.014339486990211299,0.22999450084171258
